Cog2000 log file Tue Jan 29 16:08:00 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
404014,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.bmp 404013,,,,
404514,[500],:,image croix 404514,,,,
407981,[3467],:,trigger 404671,,,,
407981,[0],:,trigger 407071,,,,
408015,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.bmp 408015,,,,
408515,[500],:,image croix 408515,,,,
413382,[4867],:,bouton_1 9,,,,
413382,[0],:,trigger 409470,,,,
413382,[0],:,trigger 411870,,,,
413418,[36],:,image nostim.bmp 413418,,,,
413918,[500],:,image croix 413918,,,,
417485,[3567],:,trigger 414270,,,,
417485,[0],:,trigger 416671,,,,
417519,[34],:,image nostim.bmp 417519,,,,
418019,[500],:,image croix 418019,,,,
422686,[4667],:,trigger 419070,,,,
422686,[0],:,trigger 421470,,,,
422721,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.bmp 422721,,,,
423221,[500],:,image croix 423221,,,,
426889,[3668],:,bouton_1 275,,,,
426889,[0],:,trigger 423870,,,,
426889,[0],:,trigger 426270,,,,
426923,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.bmp 426923,,,,
427424,[501],:,image croix 427424,,,,
431891,[4467],:,bouton_1 -2,,,,
431891,[0],:,trigger 428671,,,,
431891,[0],:,bouton_2 1247,,,,
431894,[3],:,trigger 431070,,,,
431926,[32],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.bmp 431925,,,,
432426,[500],:,image croix 432426,,,,
437693,[5267],:,trigger 433470,,,,
437693,[0],:,trigger 435871,,,,
437727,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.bmp 437727,,,,
438227,[500],:,image croix 438227,,,,
441294,[3067],:,trigger 438270,,,,
441294,[0],:,bouton_1 162,,,,
441294,[0],:,trigger 440671,,,,
441329,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.bmp 441329,,,,
441829,[500],:,image croix 441829,,,,
446996,[5167],:,trigger 443070,,,,
446996,[0],:,trigger 445470,,,,
447014,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.bmp 447014,,,,
447514,[500],:,image croix 447514,,,,
452281,[4767],:,trigger 447870,,,,
452281,[0],:,trigger 450270,,,,
452317,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.bmp 452316,,,,
452783,[466],:,trigger 452671,,,,
452817,[34],:,image croix 452817,,,,
456884,[4067],:,trigger 455070,,,,
456919,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.bmp 456919,,,,
457419,[500],:,image croix 457419,,,,
461486,[4067],:,trigger 457470,,,,
461486,[0],:,trigger 459870,,,,
461520,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_7.bmp 461520,,,,
462020,[500],:,image croix 462020,,,,
465487,[3467],:,bouton_1 101,,,,
465487,[0],:,trigger 462270,,,,
465487,[0],:,trigger 464671,,,,
465522,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.bmp 465522,,,,
466022,[500],:,image croix 466022,,,,
470489,[4467],:,trigger 467070,,,,
470489,[0],:,trigger 469470,,,,
470524,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.bmp 470524,,,,
471024,[500],:,image croix 471024,,,,
475591,[4567],:,trigger 471870,,,,
475591,[0],:,trigger 474271,,,,
