Cog2000 log file Tue Apr 19 16:05:02 2016,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mexw32,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mexw32,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
1807722,[0],:,trigger 1807720,,,,
1807840,[118],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.BMP 1807839,,,,
1808340,[500],:,image croix 1808340,,,,
1813007,[4667],:,trigger 1810121,,,,
1813043,[36],:,image nostim.BMP 1813042,,,,
1813543,[500],:,image croix 1813543,,,,
1818210,[4667],:,trigger 1814921,,,,
1818210,[0],:,trigger 1817321,,,,
1818261,[51],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 1818260,,,,
1818761,[500],:,image croix 1818761,,,,
1822628,[3867],:,trigger 1819721,,,,
1822628,[0],:,trigger 1819721,,,,
1822629,[1],:,trigger 1822121,,,,
1822679,[50],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.BMP 1822679,,,,
1823179,[500],:,image croix 1823179,,,,
1827746,[4567],:,trigger 1824521,,,,
1827746,[0],:,trigger 1826921,,,,
1827747,[1],:,trigger 1826921,,,,
1827865,[118],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.BMP 1827865,,,,
1828365,[500],:,image croix 1828365,,,,
1832632,[4267],:,trigger 1829322,,,,
1832700,[68],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.BMP 1832700,,,,
1833200,[500],:,image croix 1833200,,,,
1836667,[3467],:,trigger 1834122,,,,
1836667,[0],:,trigger 1834122,,,,
1836668,[1],:,trigger 1836521,,,,
1836702,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.BMP 1836702,,,,
1837202,[500],:,image croix 1837202,,,,
1842069,[4867],:,trigger 1838920,,,,
1842069,[0],:,trigger 1841321,,,,
1842070,[1],:,trigger 1841321,,,,
1842104,[34],:,image nostim.BMP 1842104,,,,
1842604,[500],:,image croix 1842604,,,,
1846171,[3567],:,trigger 1843720,,,,
1846171,[0],:,trigger 1846122,,,,
1846206,[35],:,image nostim.BMP 1846206,,,,
1846706,[500],:,image croix 1846706,,,,
1851373,[4667],:,trigger 1848521,,,,
1851424,[51],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 1851424,,,,
1851924,[500],:,image croix 1851924,,,,
1855592,[3668],:,trigger 1853321,,,,
1855626,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.BMP 1855626,,,,
1856093,[467],:,trigger 1855720,,,,
1856126,[33],:,image croix 1856126,,,,
1860593,[4467],:,trigger 1858121,,,,
1860593,[0],:,trigger 1860520,,,,
1860661,[68],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.BMP 1860661,,,,
1861162,[501],:,image croix 1861162,,,,
1866429,[5267],:,trigger 1862920,,,,
1866429,[0],:,trigger 1865320,,,,
1866530,[101],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 1866530,,,,
1867031,[501],:,image croix 1867030,,,,
1870097,[3066],:,trigger 1867721,,,,
1870131,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 1870131,,,,
1870631,[500],:,image croix 1870631,,,,
1875798,[5167],:,trigger 1872520,,,,
1875799,[1],:,trigger 1874920,,,,
1875834,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.BMP 1875834,,,,
1876335,[501],:,image croix 1876334,,,,
1881101,[4766],:,trigger 1877321,,,,
1881101,[0],:,trigger 1879720,,,,
1881220,[119],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.BMP 1881220,,,,
1881719,[499],:,image croix 1881719,,,,
1885786,[4067],:,trigger 1882121,,,,
1885786,[0],:,trigger 1884521,,,,
