Cog2000 log file Tue Jul 10 18:50:43 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
224340,[0],:,trigger 222620,,,,
224358,[18],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 224358,,,,
224859,[501],:,image croix 224859,,,,
227626,[2767],:,trigger 225020,,,,
227626,[0],:,trigger 227420,,,,
227660,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 227660,,,,
228160,[500],:,image croix 228160,,,,
233027,[4867],:,trigger 229820,,,,
233027,[0],:,trigger 232214,,,,
233063,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.BMP 233063,,,,
233563,[500],:,image croix 233563,,,,
237830,[4267],:,bouton_1 602,,,,
237830,[0],:,trigger 234620,,,,
237830,[0],:,trigger 237020,,,,
237864,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 237864,,,,
238364,[500],:,image croix 238364,,,,
242331,[3967],:,bouton_1 605,,,,
242331,[0],:,trigger 239420,,,,
242331,[0],:,trigger 241819,,,,
242366,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 242366,,,,
242866,[500],:,image croix 242866,,,,
247033,[4167],:,trigger 244220,,,,
247033,[0],:,trigger 246619,,,,
247068,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 247068,,,,
247568,[500],:,image croix 247568,,,,
252535,[4967],:,trigger 249020,,,,
252535,[0],:,trigger 251419,,,,
252570,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.BMP 252570,,,,
253070,[500],:,image croix 253070,,,,
257437,[4367],:,trigger 253819,,,,
257437,[0],:,trigger 256220,,,,
257437,[0],:,bouton_1 3150,,,,
257471,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.BMP 257471,,,,
257973,[502],:,image croix 257973,,,,
261440,[3467],:,trigger 258619,,,,
261440,[0],:,trigger 261021,,,,
261474,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.BMP 261474,,,,
261974,[500],:,image croix 261974,,,,
267041,[5067],:,bouton_1 294,,,,
267041,[0],:,trigger 263420,,,,
267041,[0],:,bouton_1 1446,,,,
267043,[2],:,bouton_1 1446,,,,
267044,[1],:,trigger 265820,,,,
267076,[32],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 267076,,,,
267576,[500],:,image croix 267576,,,,
272243,[4667],:,bouton_1 426,,,,
272243,[0],:,trigger 268221,,,,
272243,[0],:,trigger 270620,,,,
272278,[35],:,image nostim.BMP 272278,,,,
272778,[500],:,image croix 272778,,,,
276945,[4167],:,trigger 273021,,,,
276945,[0],:,trigger 275420,,,,
276980,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.BMP 276979,,,,
277480,[500],:,image croix 277480,,,,
282247,[4767],:,bouton_1 307,,,,
282247,[0],:,trigger 277819,,,,
282247,[0],:,trigger 280220,,,,
282282,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 282282,,,,
282749,[467],:,trigger 282619,,,,
282782,[33],:,image croix 282782,,,,
286949,[4167],:,bouton_1 295,,,,
286949,[0],:,trigger 285020,,,,
286984,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.BMP 286984,,,,
287451,[467],:,trigger 287419,,,,
287484,[33],:,image croix 287484,,,,
291251,[3767],:,trigger 289819,,,,
291286,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 291286,,,,
291786,[500],:,image croix 291786,,,,
296153,[4367],:,trigger 292219,,,,
296153,[0],:,trigger 294619,,,,
296188,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_1.BMP 296188,,,,
296688,[500],:,image croix 296688,,,,
299655,[2967],:,trigger 297020,,,,
299655,[0],:,trigger 299415,,,,
299689,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.BMP 299689,,,,
300189,[500],:,image croix 300189,,,,
304756,[4567],:,trigger 301820,,,,
304756,[0],:,trigger 304220,,,,
304774,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_6.BMP 304774,,,,
305274,[500],:,image croix 305274,,,,
309341,[4067],:,trigger 306620,,,,
309341,[0],:,trigger 309020,,,,
309359,[18],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.BMP 309359,,,,
309860,[501],:,image croix 309860,,,,
315427,[5567],:,bouton_1 374,,,,
315427,[0],:,trigger 311420,,,,
315427,[0],:,trigger 313819,,,,
315462,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 315462,,,,
315963,[501],:,image croix 315963,,,,
