Cog2000 log file Tue Feb 05 16:10:49 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
559753,[500],:,image croix 559753,,,,
564120,[4367],:,trigger 559781,,,,
564120,[0],:,trigger 562180,,,,
564138,[18],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.bmp 564138,,,,
564605,[467],:,trigger 564581,,,,
564639,[34],:,image croix 564638,,,,
568105,[3466],:,trigger 566980,,,,
568124,[19],:,image nostim.bmp 568124,,,,
568624,[500],:,image croix 568624,,,,
572591,[3967],:,trigger 569375,,,,
572591,[0],:,trigger 571781,,,,
572625,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.bmp 572625,,,,
573125,[500],:,image croix 573125,,,,
578392,[5267],:,bouton_1 222,,,,
578392,[0],:,trigger 574180,,,,
578392,[0],:,trigger 576581,,,,
578427,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.bmp 578427,,,,
578928,[501],:,image croix 578928,,,,
582795,[3867],:,trigger 578981,,,,
582795,[0],:,trigger 581380,,,,
582830,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.bmp 582830,,,,
583330,[500],:,image croix 583330,,,,
587797,[4467],:,bouton_1 151,,,,
587797,[0],:,trigger 583780,,,,
587798,[1],:,trigger 586180,,,,
587832,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.bmp 587832,,,,
588332,[500],:,image croix 588332,,,,
592099,[3767],:,bouton_1 123,,,,
592099,[0],:,trigger 588581,,,,
592099,[0],:,trigger 590980,,,,
592133,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.bmp 592133,,,,
592633,[500],:,image croix 592633,,,,
597900,[5267],:,bouton_1 181,,,,
597900,[0],:,trigger 593380,,,,
597900,[0],:,trigger 595781,,,,
597935,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.bmp 597935,,,,
598402,[467],:,trigger 598181,,,,
598436,[34],:,image croix 598436,,,,
602303,[3867],:,trigger 600582,,,,
602337,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.bmp 602337,,,,
602837,[500],:,image croix 602837,,,,
605604,[2767],:,trigger 602980,,,,
605604,[0],:,trigger 605380,,,,
605638,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 605638,,,,
606139,[501],:,image croix 606139,,,,
612006,[5867],:,trigger 607780,,,,
612006,[0],:,trigger 610180,,,,
612042,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.bmp 612042,,,,
612542,[500],:,image croix 612542,,,,
616609,[4067],:,trigger 612581,,,,
616609,[0],:,trigger 614981,,,,
616643,[34],:,image nostim.bmp 616643,,,,
617143,[500],:,image croix 617143,,,,
620010,[2867],:,trigger 617380,,,,
620010,[0],:,trigger 619781,,,,
620044,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.bmp 620044,,,,
620544,[500],:,image croix 620544,,,,
624911,[4367],:,bouton_1 162,,,,
624911,[0],:,trigger 622180,,,,
624911,[0],:,trigger 624581,,,,
624947,[36],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.bmp 624947,,,,
625447,[500],:,image croix 625447,,,,
630414,[4967],:,trigger 626980,,,,
630414,[0],:,trigger 629380,,,,
630432,[18],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.bmp 630432,,,,
630932,[500],:,image croix 630932,,,,
635499,[4567],:,trigger 631781,,,,
635499,[0],:,bouton_1 1373,,,,
635500,[1],:,trigger 634181,,,,
635534,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_4.bmp 635534,,,,
636034,[500],:,image croix 636034,,,,
639501,[3467],:,bouton_1 219,,,,
639501,[0],:,trigger 636582,,,,
639501,[0],:,trigger 638982,,,,
639536,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.bmp 639536,,,,
640036,[500],:,image croix 640036,,,,
