Cog2000 log file Tue Jan 22 15:55:30 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
2393885,[0],:,trigger 2391320,,,,
2393885,[0],:,trigger 2393720,,,,
2393919,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.bmp 2393919,,,,
2394419,[500],:,image croix 2394419,,,,
2399486,[5067],:,trigger 2396120,,,,
2399486,[0],:,trigger 2398520,,,,
2399521,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.bmp 2399521,,,,
2400021,[500],:,image croix 2400021,,,,
2403488,[3467],:,trigger 2400921,,,,
2403488,[0],:,trigger 2403320,,,,
2403522,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 2403522,,,,
2404023,[501],:,image croix 2404023,,,,
2408690,[4667],:,trigger 2405720,,,,
2408690,[0],:,trigger 2408120,,,,
2408724,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.bmp 2408724,,,,
2409225,[501],:,image croix 2409225,,,,
2414592,[5367],:,bouton_1 831,,,,
2414592,[0],:,trigger 2410519,,,,
2414592,[0],:,trigger 2412921,,,,
2414627,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.bmp 2414627,,,,
2415128,[501],:,image croix 2415128,,,,
2419595,[4467],:,trigger 2415320,,,,
2419595,[0],:,trigger 2417720,,,,
2419630,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.bmp 2419629,,,,
2420130,[500],:,image croix 2420130,,,,
2424597,[4467],:,trigger 2420121,,,,
2424597,[0],:,trigger 2422520,,,,
2424632,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.bmp 2424631,,,,
2425098,[466],:,trigger 2424921,,,,
2425132,[34],:,image croix 2425132,,,,
2428299,[3167],:,trigger 2427320,,,,
2428333,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.bmp 2428333,,,,
2428833,[500],:,image croix 2428833,,,,
2433000,[4167],:,trigger 2429720,,,,
2433000,[0],:,trigger 2432121,,,,
2433035,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_4.bmp 2433035,,,,
2433535,[500],:,image croix 2433535,,,,
2438202,[4667],:,bouton_1 8,,,,
2438202,[0],:,trigger 2434520,,,,
2438202,[0],:,trigger 2436921,,,,
2438237,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.bmp 2438237,,,,
2438737,[500],:,image croix 2438737,,,,
2442904,[4167],:,bouton_1 263,,,,
2442904,[0],:,trigger 2439321,,,,
2442904,[0],:,trigger 2441720,,,,
2442938,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.bmp 2442938,,,,
2443438,[500],:,image croix 2443438,,,,
2447905,[4467],:,bouton_1 175,,,,
2447905,[0],:,trigger 2444120,,,,
2447905,[0],:,trigger 2446520,,,,
2447940,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.bmp 2447940,,,,
2448441,[501],:,image croix 2448441,,,,
2452308,[3867],:,bouton_1 92,,,,
2452308,[0],:,trigger 2448920,,,,
2452308,[0],:,trigger 2451320,,,,
2452343,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_9.bmp 2452343,,,,
2452843,[500],:,image croix 2452843,,,,
2456510,[3667],:,bouton_1 218,,,,
2456510,[0],:,trigger 2453716,,,,
2456511,[1],:,trigger 2456121,,,,
2456544,[33],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 2456544,,,,
2457045,[501],:,image croix 2457044,,,,
2461611,[4566],:,bouton_1 1285,,,,
2461611,[0],:,trigger 2458520,,,,
2461612,[1],:,trigger 2460921,,,,
2461646,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.bmp 2461646,,,,
2462146,[500],:,image croix 2462146,,,,
2467313,[5167],:,trigger 2463320,,,,
2467313,[0],:,trigger 2465720,,,,
2467348,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.bmp 2467348,,,,
2467848,[500],:,image croix 2467848,,,,
2470915,[3067],:,trigger 2468121,,,,
2470915,[0],:,bouton_1 1237,,,,
2470915,[0],:,trigger 2470520,,,,
2470950,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.bmp 2470950,,,,
2471450,[500],:,image croix 2471450,,,,
2477217,[5767],:,bouton_1 589,,,,
2477217,[0],:,trigger 2472920,,,,
2477217,[0],:,trigger 2475320,,,,
2477253,[36],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_4.bmp 2477253,,,,
2477753,[500],:,image croix 2477753,,,,
2481120,[3367],:,trigger 2477720,,,,
2481120,[0],:,bouton_1 137,,,,
2481121,[1],:,trigger 2480120,,,,
2481154,[33],:,image nostim.bmp 2481154,,,,
2481654,[500],:,image croix 2481654,,,,
2486421,[4767],:,trigger 2482519,,,,
2486421,[0],:,trigger 2484920,,,,
2486439,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.bmp 2486439,,,,
2486939,[500],:,image croix 2486939,,,,
2490706,[3767],:,bouton_1 41,,,,
2490706,[0],:,trigger 2487320,,,,
2490706,[0],:,trigger 2489720,,,,
2490741,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.bmp 2490741,,,,
2491241,[500],:,image croix 2491241,,,,
2495408,[4167],:,trigger 2492121,,,,
2495408,[0],:,trigger 2494521,,,,
2495443,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.bmp 2495443,,,,
2495943,[500],:,image croix 2495943,,,,
2499810,[3867],:,bouton_1 137,,,,
2499810,[0],:,trigger 2496920,,,,
2499810,[0],:,trigger 2499321,,,,
2499845,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.bmp 2499845,,,,
2500345,[500],:,image croix 2500345,,,,
2504712,[4367],:,bouton_1 44,,,,
2504712,[0],:,trigger 2501721,,,,
2504712,[0],:,trigger 2504121,,,,
2504747,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.bmp 2504747,,,,
2505247,[500],:,image croix 2505247,,,,
2510314,[5067],:,bouton_1 143,,,,
2510314,[0],:,trigger 2506520,,,,
2510314,[0],:,trigger 2508921,,,,
2510349,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.bmp 2510349,,,,
2510849,[500],:,image croix 2510849,,,,
2515216,[4367],:,trigger 2511320,,,,
2515216,[0],:,bouton_1 564,,,,
2515216,[0],:,bouton_2 947,,,,
2515219,[3],:,trigger 2513721,,,,
2515251,[32],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.bmp 2515251,,,,
2515751,[500],:,image croix 2515751,,,,
2518718,[2967],:,trigger 2516120,,,,
2518718,[0],:,bouton_1 387,,,,
2518718,[0],:,trigger 2518519,,,,
2518753,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.bmp 2518753,,,,
2519253,[500],:,image croix 2519253,,,,
2524920,[5667],:,trigger 2520921,,,,
2524920,[0],:,trigger 2523320,,,,
2524938,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.bmp 2524938,,,,
2525438,[500],:,image croix 2525438,,,,
2530005,[4567],:,trigger 2525720,,,,
2530005,[0],:,trigger 2528121,,,,
2530041,[36],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.bmp 2530040,,,,
2530541,[500],:,image croix 2530541,,,,
2534508,[3967],:,trigger 2530515,,,,
2534508,[0],:,trigger 2532921,,,,
2534542,[34],:,image nostim.bmp 2534542,,,,
2535043,[501],:,image croix 2535042,,,,
2539109,[4066],:,trigger 2535321,,,,
2539109,[0],:,trigger 2537720,,,,
2539144,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.bmp 2539144,,,,
2539644,[500],:,image croix 2539644,,,,
2544311,[4667],:,trigger 2540121,,,,
2544311,[0],:,trigger 2542520,,,,
2544346,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.bmp 2544345,,,,
2544846,[500],:,image croix 2544846,,,,
2548913,[4067],:,trigger 2544921,,,,
2548913,[0],:,bouton_1 145,,,,
2548913,[0],:,trigger 2547321,,,,
2548948,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.bmp 2548948,,,,
2549448,[500],:,image croix 2549448,,,,
2553415,[3967],:,trigger 2549720,,,,
2553415,[0],:,trigger 2549720,,,,
2553415,[0],:,trigger 2552121,,,,
2553450,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.bmp 2553450,,,,
2553950,[500],:,image croix 2553950,,,,
2558217,[4267],:,trigger 2554520,,,,
2558217,[0],:,trigger 2556920,,,,
2558252,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.bmp 2558252,,,,
2558752,[500],:,image croix 2558752,,,,
2563419,[4667],:,trigger 2559320,,,,
2563419,[0],:,trigger 2561720,,,,
2563454,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.bmp 2563454,,,,
2563954,[500],:,image croix 2563954,,,,
2566721,[2767],:,bouton_1 114,,,,
2566721,[0],:,trigger 2564120,,,,
2566721,[0],:,trigger 2566520,,,,
2566755,[34],:,image nostim.bmp 2566755,,,,
2567256,[501],:,image croix 2567256,,,,
2573123,[5867],:,trigger 2568921,,,,
2573123,[0],:,trigger 2571321,,,,
2573158,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.bmp 2573158,,,,
2573658,[500],:,image croix 2573658,,,,
2576825,[3167],:,bouton_1 -31,,,,
2576825,[0],:,trigger 2573720,,,,
2576825,[0],:,bouton_2 62,,,,
2576830,[5],:,trigger 2576121,,,,
2576859,[29],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.bmp 2576859,,,,
2577359,[500],:,image croix 2577359,,,,
2582726,[5367],:,trigger 2578520,,,,
2582726,[0],:,trigger 2580921,,,,
2582745,[19],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_7.bmp 2582745,,,,
2583245,[500],:,image croix 2583245,,,,
2587212,[3967],:,trigger 2583320,,,,
2587212,[0],:,bouton_1 104,,,,
2587212,[0],:,trigger 2585720,,,,
2587247,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.bmp 2587247,,,,
2587714,[467],:,bouton_1 465,,,,
2587747,[33],:,image croix 2587747,,,,
2591114,[3367],:,trigger 2588121,,,,
2591114,[0],:,trigger 2590520,,,,
